class_id,replicate,experiment_id,student_id,scenario,scenario_label,seed,model_version,day,temperature_c,thermal_performance,degree_days,cumulative_degree_days,hydration_pct,nutrient_pct,root_health_pct,plant_health_pct,host_quality_index,enemy_pressure,nymphs_modelled,apterous_adults_modelled,alate_adults_modelled,total_aphids_modelled,nymphs_observed,apterous_adults_observed,alate_adults_observed,total_aphids_observed,fecundity_per_adult,new_nymphs,matured_nymphs,alate_fraction,mortality_rate,mortality_count,alate_emigrants,lambda_from_day_0,intervention,event_note
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,10,18.5,0.999,14.5,162.7,62.7,44.6,100,64.4,0.528,0,1019.46,196.05,58.03,1273.55,979,193,59,1231,1.238,222.47,60.16,0.353,0.0768,92.34,5.56,28.944,water +32%,intervention: water +32%
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,11,18,0.997,14,176.7,53,60.9,100,68.1,0.573,0,1069.02,228.42,71.13,1368.58,1022,214,69,1305,0.978,205.87,70.38,0.353,0.078,103.84,7,31.104,fertiliser +22%,intervention: fertiliser +22%
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,12,16.9,0.988,12.9,189.6,43.3,55.1,99.8,62.4,0.505,0,1052.03,252.02,80.07,1384.12,974,251,73,1298,0.601,147.98,64.91,0.374,0.0867,123.56,8.88,31.457,,
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,13,16.8,0.987,12.8,202.4,65.5,49.2,100,67.3,0.563,0,1071.55,279.02,88.77,1439.34,1023,263,92,1378,0.678,184.38,70.48,0.362,0.0831,119.37,9.79,32.712,water +32%,intervention: water +32%
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,14,16.9,0.988,12.9,215.3,55.3,65.1,100,70.6,0.604,0,1102.47,308.9,97.58,1508.94,1093,307,97,1497,0.673,202.84,76.8,0.354,0.0822,122.51,10.73,34.294,fertiliser +22%,intervention: fertiliser +22%
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,15,16.2,0.978,12.2,227.5,45.4,59.1,100,64.8,0.533,0,1033.12,328.36,102.03,1463.51,910,328,106,1344,0.323,107.64,69.35,0.373,0.0904,140.91,12.16,33.262,,
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,16,16.9,0.988,12.9,240.4,67.3,53.1,100,69.5,0.59,0,1027.91,351,106.51,1485.42,1096,340,113,1549,0.455,161.14,72.35,0.358,0.0842,126.82,12.41,33.759,water +32%,intervention: water +32%
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,17,16.9,0.988,12.9,253.3,57.3,47,100,63.6,0.519,0,1023.31,363.69,107.08,1494.08,1002,388,106,1496,0.423,159.62,63.95,0.375,0.0903,137.64,13.32,33.956,,
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,18,18.3,0.998,14.3,267.6,47.1,62.9,100,67,0.559,0,1009.6,379.89,109.25,1498.74,1017,396,107,1520,0.39,152.17,68.88,0.366,0.0878,134.31,13.2,34.062,fertiliser +22%,intervention: fertiliser +22%
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,19,18.6,0.999,14.6,282.2,68.8,56.9,100,71.6,0.616,0,987.3,400.6,112.74,1500.64,1006,402,111,1519,0.352,143.48,74.39,0.353,0.0838,128.39,13.18,34.105,water +32%,intervention: water +32%
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,20,19.8,1,15.8,298,58.1,50.8,100,65.5,0.541,0,973.32,410.7,112.19,1496.21,1057,384,118,1559,0.34,145.95,64.82,0.37,0.0892,136.39,13.98,34.005,,
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,21,20.8,0.997,16.8,314.8,47.2,44.8,100,59.4,0.469,0,956.63,411.83,108.47,1476.92,931,368,109,1408,0.315,138.38,56.05,0.386,0.0942,143.39,14.28,33.566,,
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,22,21.3,0.995,17.3,332.1,67.5,60.3,100,72.6,0.629,0,1084.59,430.2,111.41,1626.21,1066,419,111,1596,0.648,284.44,72.39,0.348,0.0814,122.18,12.97,36.959,water +32%; fertiliser +22%,intervention: water +32%; fertiliser +22%
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,23,21.2,0.995,17.2,349.3,56.1,54,100,66.2,0.55,0,1027.25,440.73,113.25,1581.23,1011,416,105,1532,0.272,124.53,71.91,0.371,0.0939,155.68,13.83,35.937,,
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,24,22,0.99,18,367.3,44.6,47.9,99.8,59.8,0.474,0,968.33,440.22,110.22,1518.77,967,431,94,1492,0.231,108.47,59.37,0.387,0.0974,156.5,14.43,34.518,,
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,25,21.2,0.995,17.2,384.5,65.2,63.6,100,73.2,0.636,0,1008.73,456.92,113.11,1578.76,977,491,128,1596,0.429,200.72,73.71,0.348,0.0828,127.55,13.19,35.881,water +32%; fertiliser +22%,intervention: water +32%; fertiliser +22%
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,26,21.4,0.994,17.4,401.9,53.8,57.3,100,66.8,0.557,0,986.79,463.92,113.23,1563.94,1054,479,112,1645,0.299,145.18,67.77,0.368,0.0912,146.02,13.98,35.544,,
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,27,22,0.99,18,419.9,42.3,51.2,99.8,60.4,0.481,0,952.9,461.18,109.7,1523.78,872,486,107,1465,0.257,126.35,57.86,0.385,0.0961,152.13,14.38,34.631,,
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,28,20.2,0.999,16.2,436.1,63.4,45,100,64.8,0.533,0,955.16,463.87,108.55,1527.58,977,450,114,1541,0.322,157.3,61.65,0.373,0.0908,139.84,13.66,34.718,water +32%,intervention: water +32%
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,0,19.1,1,0,0,78,82,95,83.9,0.776,0,23.76,20.24,0,44,25,20,0,45,0,0,0,0,0,0,0,1,,setup observation
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,1,21.6,0.993,17.6,17.6,71.5,79.8,95.9,81.1,0.738,0,100.66,21.44,0.21,122.31,94,20,0,114,3.954,80.02,2.1,0.1,0.0398,1.71,0,2.78,,
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,2,21,0.996,17,34.6,64.9,77.3,96.8,78.1,0.699,0,161.15,28.11,1.18,190.44,163,32,2,197,3.425,73.61,8.46,0.118,0.0429,5.47,0.02,4.328,,
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,3,21.1,0.996,17.1,51.7,58.1,74.7,97.7,75,0.659,0,220.99,38.02,2.77,261.78,246,41,4,291,2.84,80.65,12.78,0.136,0.0462,9.22,0.09,5.95,,
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,4,21.2,0.995,17.2,68.9,50.9,71.8,98.6,71.6,0.616,0,294.27,50.25,4.99,349.5,248,53,6,307,2.625,101.63,16.44,0.158,0.0499,13.68,0.23,7.943,,
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,5,21.6,0.993,17.6,86.5,43.3,68.6,98.4,67.7,0.568,0,388.12,64.51,8.03,460.66,394,61,8,463,2.552,131.39,20.36,0.184,0.0541,19.8,0.43,10.47,,
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,6,20.2,0.999,16.2,102.7,67.3,64.9,99.3,74.3,0.65,0,561.35,86.43,12.75,660.53,589,82,11,682,3.379,224.78,30.55,0.192,0.0501,24.2,0.71,15.012,water +32%,intervention: water +32%
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,7,20.4,0.999,16.4,119.1,58.7,60.6,100,69.8,0.594,0,717.84,112.42,20.95,851.21,752,123,18,893,2.591,232.21,40.56,0.253,0.058,40.25,1.28,19.346,,
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,8,19.6,1,15.6,134.7,49.8,55.9,100,64.9,0.534,0,845.71,138.46,31.66,1015.82,880,134,33,1047,1.928,226.85,47.04,0.309,0.067,59.91,2.34,23.087,,
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,9,19,1,15,149.7,40.8,51,99.8,59.8,0.474,0,881.17,161.47,42.62,1085.26,907,159,43,1109,1.056,154.59,49.4,0.35,0.0763,81.35,3.8,24.665,,
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,10,19,1,15,164.7,63.3,45.7,100,65.1,0.536,0,975.14,188.98,54.12,1218.23,1047,174,52,1273,1.29,222.08,57.67,0.345,0.074,84.04,5.07,27.687,water +32%,intervention: water +32%
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,11,17.2,0.991,13.2,177.9,53.8,62,100,68.8,0.581,0,1063.25,221.13,66.97,1351.35,979,223,65,1267,1.163,235.46,68,0.347,0.0753,95.88,6.46,30.713,fertiliser +22%,intervention: fertiliser +22%
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,12,16.5,0.982,12.5,190.4,44.1,56.3,99.8,63.1,0.513,0,1039.51,245.91,76.87,1362.29,1057,242,77,1376,0.587,139.53,65.24,0.371,0.0854,120.26,8.32,30.961,,
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,13,15.7,0.968,11.7,202.1,66.3,50.4,100,68,0.572,0,1072.91,273.21,85.82,1431.93,1111,274,85,1470,0.733,194.32,69.41,0.358,0.0815,115.33,9.35,32.544,water +32%,intervention: water +32%
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,14,16.8,0.987,12.8,214.9,56.3,66.4,100,71.5,0.615,0,1067.13,304.68,95.58,1467.4,946,289,96,1331,0.564,166.26,77.96,0.352,0.0812,120.47,10.33,33.35,fertiliser +22%,intervention: fertiliser +22%
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,15,16.5,0.982,12.5,227.4,46.3,60.4,100,65.7,0.544,0,1038.39,325.07,100.34,1463.8,1026,318,105,1449,0.43,141.32,68.82,0.369,0.0879,133.08,11.84,33.268,,
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,16,16.7,0.985,12.7,240.1,68.2,54.3,100,70.3,0.6,0,1049.13,349.24,105.63,1504,1078,338,113,1529,0.509,178.12,73.75,0.356,0.0835,125.76,12.16,34.182,water +32%,intervention: water +32%
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,17,16.6,0.984,12.6,252.7,58.2,48.3,100,64.5,0.53,0,1004.47,363.47,107.11,1475.05,933,366,106,1405,0.33,123.85,66.07,0.374,0.0904,139.63,13.17,33.524,,
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,18,17.9,0.996,13.9,266.6,48.2,42.3,100,58.7,0.462,0,999.9,368.68,104.82,1473.4,968,375,105,1448,0.395,154.13,56.6,0.388,0.0941,142.11,13.67,33.486,,
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,19,18.3,0.998,14.3,280.9,38.2,58.4,99.8,62.1,0.501,0,972.78,377.55,104.66,1454.99,1079,371,97,1547,0.335,132.17,60.84,0.379,0.0912,137.39,13.19,33.068,fertiliser +22%,intervention: fertiliser +22%
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,20,19.2,1,15.2,296.1,59.8,52.3,100,66.7,0.556,0,987.3,391,106.2,1484.5,1071,378,116,1565,0.423,170.6,65.39,0.366,0.0863,128.21,12.89,33.739,water +32%,intervention: water +32%
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,21,20.5,0.998,16.5,312.6,49,46.3,100,60.6,0.484,0,963.2,395.92,104.8,1463.92,920,399,108,1427,0.319,133.21,58.46,0.383,0.0927,140.34,13.44,33.271,,
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,22,21.1,0.996,17.1,329.7,37.9,62.3,99.8,63.6,0.519,0,972.25,403.74,104.67,1480.67,961,395,101,1457,0.385,162.65,60.91,0.373,0.0891,132.84,13.07,33.652,fertiliser +22%,intervention: fertiliser +22%
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,23,22,0.99,18,347.7,58.3,56.1,100,67.8,0.569,0,1035.78,416.35,106.53,1558.66,1135,407,107,1649,0.513,220.49,66.61,0.362,0.086,129.67,12.82,35.424,water +32%,intervention: water +32%
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,24,21.4,0.994,17.4,365.1,47.1,50,100,61.5,0.494,0,981.17,420.81,106.23,1508.21,1014,406,104,1524,0.257,113.96,62.28,0.382,0.095,150.94,13.47,34.278,,
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,25,21.6,0.993,17.6,382.7,67.7,43.8,100,65.7,0.544,0,982.85,429.31,106.97,1519.13,919,450,104,1473,0.359,160.65,64.57,0.369,0.0891,136.58,13.15,34.526,water +32%,intervention: water +32%
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,26,21.8,0.991,17.8,400.5,56.2,59.6,100,68.6,0.579,0,989.39,440.87,108.82,1539.08,1003,453,108,1564,0.367,167.25,68.37,0.361,0.087,134.22,13.08,34.979,fertiliser +22%,intervention: fertiliser +22%
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,27,20.8,0.997,16.8,417.3,45.2,53.6,100,62.4,0.505,0,938.42,443.16,107.51,1489.09,945,454,106,1505,0.234,109.67,60.78,0.379,0.0934,145.96,13.7,33.843,,
aphidsim_tutorial,2,Baseline_02_baseline_2770,Baseline_02,baseline,Baseline mesocosm,2770,2.1.0,28,20.9,0.997,16.9,434.2,66,47.4,100,66.7,0.556,0,991.56,449.93,107.52,1549.01,1006,425,114,1545,0.436,204.99,63.22,0.366,0.0874,131.83,13.24,35.205,water +32%,intervention: water +32%
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,0,19.5,1,0,0,78,82,95,83.9,0.776,0,17.28,14.72,0,32,19,11,0,30,0,0,0,0,0,0,0,1,,setup observation
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,1,22,0.99,18,18,71.5,79.8,95.9,81.1,0.738,0,77.49,15.59,0.15,93.23,72,16,0,88,4.244,62.48,1.52,0.098,0.0398,1.25,0,2.914,,
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,2,21.3,0.995,17.3,35.3,64.9,77.5,96.8,78.2,0.7,0,142.29,20.79,0.87,163.95,142,20,2,164,4.791,74.88,6.51,0.114,0.0427,4.15,0.01,5.123,,
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,3,21.5,0.993,17.5,52.8,58,74.9,97.7,75,0.659,0,206.66,29.76,2.25,238.68,211,26,1,238,3.938,82.71,11.28,0.132,0.0459,7.92,0.07,7.459,,
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,4,21.6,0.993,17.6,70.4,50.8,72.1,98.6,71.7,0.618,0,272.99,41.51,4.31,318.81,271,45,3,319,3.059,92.75,15.38,0.153,0.0495,12.44,0.18,9.963,,
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,5,20.7,0.998,16.7,87.1,43.6,69,98.4,68,0.571,0,366,55.26,7.08,428.34,355,59,6,420,3.002,127.83,19.04,0.178,0.0535,17.93,0.37,13.386,,
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,6,21.4,0.994,17.4,104.5,67.4,65.4,99.3,74.5,0.653,0,532.76,76.48,11.38,620.63,523,83,12,618,3.772,215.08,28.85,0.183,0.0493,22.18,0.61,19.395,water +32%,intervention: water +32%
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,7,20.3,0.999,16.3,120.8,58.9,61.2,100,70.1,0.598,0,702.96,102.1,18.97,824.04,655,93,18,766,3.046,241.65,38.75,0.242,0.0568,37.12,1.12,25.751,,
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,8,19.9,1,15.9,136.7,49.9,56.5,100,65.2,0.538,0,840.36,128.68,29.59,998.63,780,125,33,938,2.189,233.88,46.39,0.302,0.066,57.19,2.1,31.207,,
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,9,19.4,1,15.4,152.1,40.7,51.5,99.8,60,0.477,0,922.04,152.64,40.87,1115.56,928,149,35,1112,1.468,199.7,49.48,0.347,0.0755,79.24,3.53,34.861,,
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,10,19.1,1,15.1,167.2,63.1,46.2,100,65.2,0.538,0,999.48,182.27,53.8,1235.55,1037,189,53,1279,1.305,212.54,60.5,0.348,0.0749,87.66,4.89,38.611,water +32%,intervention: water +32%
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,11,19.3,1,15.3,182.5,53.2,62.5,100,68.8,0.582,0,1048.39,216.32,67.62,1332.32,1029,235,61,1325,1.028,201.29,70.48,0.348,0.0759,98.08,6.44,41.635,fertiliser +22%,intervention: fertiliser +22%
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,12,18.4,0.999,14.4,196.9,43.5,56.9,99.8,63.2,0.514,0,1025.75,241.85,77.48,1345.08,1068,253,78,1399,0.594,138.63,65.52,0.37,0.0846,117.48,8.39,42.034,,
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,13,17.8,0.996,13.8,210.7,65.3,50.8,100,67.9,0.57,0,1164.97,270.43,86.72,1522.12,1124,274,86,1484,1.146,299.32,70.61,0.357,0.0808,112.86,9.41,47.566,water +32%,intervention: water +32%
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,14,17.6,0.994,13.6,224.3,55.3,66.7,100,71.3,0.612,0,1069.22,305.18,98.54,1472.95,1062,297,97,1456,0.329,96.11,84.65,0.355,0.0852,134.78,10.5,46.03,fertiliser +22%,intervention: fertiliser +22%
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,15,17.3,0.992,13.3,237.6,45.2,60.6,100,65.4,0.54,0,1080.76,325.71,102.84,1509.32,1048,329,96,1473,0.554,182.78,69.34,0.37,0.0882,134.2,12.22,47.166,,
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,16,17.7,0.995,13.7,251.3,67.1,54.6,100,70.1,0.597,0,1030.73,351.06,108.63,1490.42,1064,350,106,1520,0.361,126.91,76.92,0.358,0.0857,133.3,12.51,46.576,water +32%,intervention: water +32%
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,17,17.9,0.996,13.9,265.2,57.1,48.5,100,64.2,0.526,0,1012.92,364.85,109.27,1487.04,1000,342,108,1450,0.391,147.87,65.44,0.374,0.09,137.7,13.55,46.47,,
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,18,18.5,0.999,14.5,279.7,46.9,42.5,100,58.4,0.458,0,995.68,369.78,106.54,1472,1023,358,107,1488,0.366,143.37,56.83,0.389,0.0949,144.44,13.97,46,,
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,19,19.6,1,15.6,295.3,68.3,58.4,100,72.1,0.622,0,998.64,391.98,110.64,1501.26,1027,378,109,1514,0.418,165.64,74.39,0.351,0.0821,123.58,12.8,46.914,water +32%; fertiliser +22%,intervention: water +32%; fertiliser +22%
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,20,20.4,0.999,16.4,311.7,57.4,52.4,100,65.9,0.547,0,985.35,403.82,111.03,1500.2,1050,392,118,1560,0.354,148.61,66.16,0.369,0.0888,135.98,13.69,46.881,,
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,21,20.3,0.999,16.3,328,46.7,46.4,100,59.9,0.476,0,947.64,406.45,108.08,1462.17,873,425,101,1399,0.277,119.72,57.39,0.385,0.094,143.64,14.11,45.693,,
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,22,21.2,0.995,17.2,345.2,67.4,62.2,100,73.3,0.638,0,1015.15,425.81,111.16,1552.13,1039,461,110,1610,0.513,222.16,72.5,0.346,0.0803,119.32,12.88,48.504,water +32%; fertiliser +22%,intervention: water +32%; fertiliser +22%
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,23,22,0.99,18,363.2,55.9,56,100,67,0.559,0,979.15,436.05,111.96,1527.15,968,455,114,1537,0.288,130.73,68.16,0.367,0.0899,141.98,13.71,47.724,,
aphidsim_tutorial,3,Baseline_03_baseline_2853,Baseline_03,baseline,Baseline mesocosm,2853,2.1.0,24,22.5,0.985,18.5,381.7,44.4,50,99.8,60.6,0.484,0,923.15,436.09,108.71,1467.94,914,462,118,1494,0.218,101.18,57.43,0.383,0.0943,146.21,14.18,45.873,,
